id,love,joy,passion,happiness,sadness,anger,loneliness,longing,fear,surprise
22.0,0.64545,0.17525,0.08403,0.03615,0.02406,0.01834,0.00874,0.00647,0.00151,0.0
23.0,0.58149,0.18349,0.09367,0.04958,0.03523,0.02585,0.01595,0.01057,0.00418,0.0
24.0,0.58603,0.18572,0.0834,0.04776,0.03165,0.0276,0.01714,0.01276,0.00794,0.0
25.0,0.49376,0.17187,0.08856,0.09895,0.04512,0.03391,0.02852,0.02996,0.00935,0.0
26.0,0.5027,0.23276,0.08274,0.06088,0.04146,0.03596,0.02008,0.01704,0.00639,0.0
27.0,0.55523,0.1717,0.10532,0.05069,0.04466,0.03986,0.01815,0.01047,0.00392,0.0
28.0,0.60318,0.22269,0.06651,0.0491,0.02182,0.01951,0.0066,0.0082,0.0024,0.0
29.0,0.52686,0.17947,0.07742,0.07387,0.05718,0.03821,0.01959,0.01911,0.0083,0.0
30.0,0.59667,0.18141,0.07283,0.05876,0.0323,0.02681,0.01144,0.01507,0.00471,0.0
31.0,0.48708,0.20876,0.09083,0.06766,0.04852,0.04858,0.02467,0.01654,0.00735,0.0
32.0,0.54853,0.21678,0.07432,0.06897,0.0313,0.02583,0.01179,0.01583,0.00663,0.0
33.0,0.56263,0.16213,0.08599,0.06612,0.0379,0.0345,0.02113,0.02187,0.00773,0.0
34.0,0.55284,0.17519,0.07342,0.08789,0.03201,0.03328,0.01613,0.02257,0.00668,0.0
35.0,0.52201,0.21548,0.09062,0.05252,0.04303,0.03402,0.01889,0.01358,0.00986,0.0
36.0,0.53557,0.20216,0.06805,0.05891,0.04186,0.03267,0.02297,0.02202,0.01052,0.00528
37.0,0.57722,0.15734,0.08553,0.06795,0.03916,0.03001,0.0188,0.01833,0.00566,0.0
38.0,0.61159,0.16024,0.06895,0.05739,0.04389,0.02553,0.01085,0.01725,0.00433,0.0
39.0,0.52144,0.23327,0.07591,0.04565,0.04078,0.04476,0.01918,0.01293,0.00608,0.0
40.0,0.59903,0.17325,0.0719,0.04865,0.03617,0.02825,0.0136,0.01103,0.00423,0.01391
41.0,0.69657,0.16587,0.05838,0.02834,0.01968,0.01224,0.00865,0.00848,0.00179,0.0
42.0,0.48805,0.20199,0.07578,0.08238,0.03585,0.03354,0.01844,0.01951,0.00509,0.03936
43.0,0.59376,0.15695,0.07843,0.0562,0.03283,0.02803,0.02357,0.01581,0.00498,0.00945
44.0,0.5478,0.19858,0.08481,0.05233,0.0404,0.0353,0.02151,0.01255,0.00672,0.0
45.0,0.50186,0.17505,0.08488,0.10191,0.04243,0.03919,0.01972,0.02625,0.00872,0.0
46.0,0.56061,0.19,0.09391,0.06708,0.03671,0.02646,0.01053,0.01005,0.00465,0.0
47.0,0.43136,0.15403,0.06046,0.06965,0.03564,0.03298,0.01503,0.02013,0.00704,0.1737
48.0,0.58951,0.18286,0.08463,0.05275,0.02993,0.03039,0.01193,0.01204,0.00596,0.0
49.0,0.58376,0.21407,0.08118,0.03848,0.03301,0.02013,0.01509,0.00971,0.00456,0.0
50.0,0.59948,0.18561,0.07172,0.05574,0.03131,0.02241,0.01412,0.0142,0.00541,0.0
51.0,0.47168,0.26971,0.08187,0.06433,0.03709,0.03612,0.01803,0.01557,0.00559,0.0
52.0,0.66004,0.19216,0.06231,0.03984,0.01718,0.01268,0.00654,0.00685,0.00239,0.0
53.0,0.50405,0.20295,0.07777,0.08082,0.05601,0.03183,0.01834,0.02031,0.00793,0.0
54.0,0.51674,0.195,0.08525,0.06296,0.04954,0.03564,0.02633,0.0203,0.00822,0.0
55.0,0.57366,0.15115,0.12185,0.0437,0.05906,0.02543,0.01223,0.00803,0.0049,0.0
56.0,0.55806,0.19725,0.09034,0.06168,0.03834,0.02361,0.01447,0.01131,0.00496,0.0
57.0,0.52544,0.18773,0.08461,0.06529,0.04769,0.03721,0.02619,0.01875,0.00709,0.0
58.0,0.53977,0.19527,0.10247,0.05636,0.038,0.0321,0.01798,0.01276,0.0053,0.0
59.0,0.67508,0.11957,0.07979,0.04146,0.03602,0.02327,0.01227,0.00932,0.00322,0.0
60.0,0.60927,0.16136,0.09026,0.04066,0.03703,0.02893,0.01778,0.01005,0.00466,0.0
61.0,0.50174,0.16679,0.10539,0.08567,0.06629,0.03438,0.01789,0.01619,0.00566,0.0
62.0,0.59406,0.16098,0.0628,0.06567,0.03934,0.03289,0.01835,0.01857,0.00734,0.0
63.0,0.47424,0.20996,0.0966,0.08186,0.04444,0.03688,0.02083,0.0201,0.00767,0.00743
64.0,0.53504,0.19601,0.07847,0.07496,0.03934,0.03247,0.01441,0.01759,0.00618,0.00552
65.0,0.51202,0.20085,0.08389,0.0812,0.0422,0.03797,0.01811,0.01889,0.00488,0.0
66.0,0.60758,0.18537,0.07159,0.0437,0.032,0.02741,0.01576,0.01057,0.00601,0.0
67.0,0.44558,0.20972,0.08112,0.08391,0.07955,0.04014,0.02097,0.03136,0.00765,0.0
68.0,0.62163,0.1971,0.07994,0.03148,0.02619,0.01815,0.01152,0.00906,0.00495,0.0
69.0,0.55402,0.17775,0.0997,0.05265,0.04183,0.03091,0.01687,0.01869,0.00758,0.0
70.0,0.69498,0.16821,0.04655,0.03595,0.01628,0.01725,0.00714,0.01005,0.0036,0.0
71.0,0.55759,0.1499,0.08861,0.0615,0.05158,0.04079,0.02411,0.01939,0.00652,0.0
72.0,0.58905,0.22231,0.06068,0.04776,0.02305,0.02066,0.00795,0.00876,0.00306,0.01673
73.0,0.50429,0.21445,0.09203,0.06217,0.04373,0.03639,0.02174,0.01745,0.00774,0.0
74.0,0.50955,0.19875,0.08357,0.0784,0.04856,0.03685,0.01843,0.0207,0.0052,0.0
75.0,0.6708,0.1434,0.0729,0.03757,0.0244,0.02601,0.01186,0.00926,0.00381,0.0
76.0,0.47704,0.03471,0.0161,0.01856,0.0111,0.0085,0.00452,0.00522,0.00164,0.42261
77.0,0.59513,0.17566,0.07193,0.04707,0.03637,0.04384,0.01821,0.00884,0.00295,0.0
78.0,0.56932,0.15,0.09897,0.06987,0.04041,0.03166,0.01709,0.01775,0.00494,0.0
79.0,0.58589,0.18842,0.08259,0.05205,0.03272,0.02658,0.01646,0.01235,0.00294,0.0
80.0,0.55888,0.18574,0.0865,0.05893,0.04734,0.03203,0.01481,0.01075,0.00502,0.0
81.0,0.53276,0.22638,0.09038,0.05348,0.03505,0.03021,0.01313,0.01374,0.00487,0.0
82.0,0.52778,0.21134,0.08387,0.06034,0.0457,0.03077,0.01566,0.01859,0.00596,0.0
83.0,0.51135,0.19803,0.10841,0.07383,0.04325,0.02921,0.01614,0.0141,0.00568,0.0
84.0,0.50638,0.21316,0.08351,0.05669,0.05358,0.03983,0.02254,0.01768,0.00663,0.0
85.0,0.4998,0.18325,0.08948,0.07346,0.06012,0.04335,0.02054,0.02319,0.00681,0.0
86.0,0.53772,0.1705,0.07665,0.06674,0.05217,0.03725,0.02566,0.02452,0.00878,0.0
87.0,0.55356,0.21174,0.07627,0.05539,0.03988,0.03023,0.01458,0.0122,0.00616,0.0
88.0,0.50439,0.21443,0.09475,0.06055,0.04612,0.03664,0.02011,0.01816,0.00483,0.0
89.0,0.47984,0.00706,0.00349,0.00306,0.00088,0.00039,0.00014,0.00027,7e-05,0.50481
90.0,0.53456,0.21202,0.08371,0.06105,0.04274,0.03107,0.0167,0.01377,0.00437,0.0
91.0,0.55345,0.18246,0.08464,0.0556,0.0439,0.03036,0.02263,0.01902,0.00795,0.0
92.0,0.49923,0.20597,0.09857,0.06346,0.05065,0.03289,0.02165,0.01766,0.00993,0.0
93.0,0.51178,0.20521,0.10099,0.05825,0.04318,0.03436,0.0215,0.01664,0.00809,0.0
94.0,0.54899,0.18996,0.09078,0.07076,0.0335,0.02814,0.01717,0.01364,0.00707,0.0
95.0,0.44996,0.19078,0.05433,0.06905,0.03815,0.03677,0.01645,0.02547,0.00693,0.11212
96.0,0.52187,0.16697,0.05555,0.07835,0.03822,0.03365,0.01799,0.0194,0.00714,0.06086
97.0,0.67668,0.1283,0.05773,0.0577,0.02888,0.0209,0.01408,0.01185,0.00387,0.0
98.0,0.44703,0.1513,0.08077,0.04867,0.04213,0.02718,0.01512,0.0127,0.00528,0.16981
99.0,0.5902,0.17845,0.06865,0.04947,0.03926,0.0346,0.01758,0.0158,0.00599,0.0
100.0,0.53036,0.19438,0.07803,0.08224,0.04477,0.03278,0.01545,0.01514,0.00685,0.0
101.0,0.52571,0.19226,0.09184,0.0663,0.04214,0.03381,0.02085,0.01433,0.00423,0.00854
102.0,0.59999,0.11765,0.12157,0.0902,0.07059,0.0,0.0,0.0,0.0,0.0
103.0,0.60368,0.1787,0.06301,0.05142,0.0391,0.02889,0.01712,0.01219,0.00588,0.0
104.0,0.53181,0.21797,0.07676,0.06021,0.03766,0.03657,0.01641,0.0157,0.00689,0.0
105.0,0.5325,0.30441,0.04539,0.04255,0.03765,0.0225,0.0075,0.0075,0.0,0.0
106.0,0.52231,0.23032,0.11027,0.05064,0.03741,0.0254,0.01085,0.0108,0.00199,0.0
107.0,0.55255,0.18722,0.07311,0.05726,0.04428,0.03697,0.02679,0.01564,0.00618,0.0
108.0,0.5373,0.18478,0.09209,0.08541,0.03964,0.02459,0.01689,0.01452,0.00477,0.0
109.0,0.56098,0.19406,0.07677,0.05961,0.04078,0.04045,0.01401,0.01005,0.00328,0.0
110.0,0.59999,0.11765,0.12157,0.0902,0.07059,0.0,0.0,0.0,0.0,0.0
111.0,0.47636,0.22784,0.1147,0.06313,0.04478,0.032,0.01762,0.01621,0.00736,0.0
112.0,0.4801,0.23377,0.08156,0.06495,0.04695,0.03865,0.02294,0.02074,0.01034,0.0
113.0,0.64061,0.18393,0.08219,0.03649,0.02483,0.0144,0.0095,0.00652,0.00153,0.0
114.0,0.57753,0.1624,0.09489,0.06423,0.03563,0.03079,0.01342,0.0167,0.00441,0.0
115.0,0.54211,0.20508,0.08442,0.09353,0.02803,0.0127,0.01032,0.0078,0.00311,0.0129
116.0,0.59999,0.11765,0.12157,0.0902,0.07059,0.0,0.0,0.0,0.0,0.0
117.0,0.57442,0.18362,0.082,0.0542,0.0464,0.02625,0.0151,0.01246,0.00555,0.0
118.0,0.55626,0.22117,0.07948,0.04319,0.04464,0.02441,0.0168,0.01057,0.00348,0.0
119.0,0.51801,0.20121,0.08731,0.04386,0.0531,0.03607,0.02215,0.0171,0.00954,0.01165
120.0,0.54352,0.20078,0.08491,0.06769,0.04005,0.03136,0.01492,0.01251,0.00425,0.0
121.0,0.47478,0.23972,0.09953,0.05273,0.04891,0.03565,0.02284,0.01907,0.00678,0.0
122.0,0.53161,0.18539,0.12375,0.06937,0.04358,0.02349,0.01368,0.00714,0.00198,0.0
123.0,0.51589,0.21322,0.08205,0.05582,0.04464,0.0409,0.02035,0.01826,0.00886,0.0
124.0,0.41477,0.23429,0.1264,0.0654,0.05589,0.04951,0.0257,0.02151,0.00653,0.0
125.0,0.52001,0.20362,0.0897,0.07037,0.04076,0.03096,0.01952,0.01725,0.00781,0.0
126.0,0.58648,0.1851,0.0905,0.07271,0.02333,0.02012,0.01093,0.00955,0.00128,0.0
127.0,0.59999,0.11765,0.12157,0.0902,0.07059,0.0,0.0,0.0,0.0,0.0
128.0,0.57136,0.1788,0.08028,0.05908,0.03813,0.03267,0.01939,0.01385,0.00642,0.0
129.0,0.53223,0.21186,0.08805,0.05575,0.03655,0.03193,0.01965,0.01482,0.00917,0.0
130.0,0.35627,0.27374,0.09412,0.08998,0.05328,0.04874,0.02049,0.03098,0.00773,0.02466
131.0,0.57435,0.18094,0.0686,0.06983,0.04007,0.02832,0.01523,0.01602,0.00664,0.0
132.0,0.54889,0.18438,0.09523,0.06308,0.0419,0.03534,0.01488,0.01371,0.00259,0.0
133.0,0.523,0.18534,0.10104,0.06479,0.04356,0.03654,0.02425,0.01418,0.0073,0.0
134.0,0.67784,0.18406,0.05746,0.03967,0.01674,0.01164,0.00579,0.00509,0.00171,0.0
135.0,0.57598,0.18784,0.0737,0.05255,0.03828,0.03414,0.01526,0.01608,0.00618,0.0
136.0,0.59999,0.11765,0.12157,0.0902,0.07059,0.0,0.0,0.0,0.0,0.0
137.0,0.55196,0.16332,0.0742,0.06597,0.03906,0.02784,0.01858,0.01714,0.00574,0.0362
138.0,0.56578,0.19069,0.08763,0.05718,0.03839,0.02896,0.0134,0.01255,0.00543,0.0
139.0,0.44829,0.04834,0.02336,0.01718,0.0136,0.01064,0.0055,0.00505,0.0021,0.42594
140.0,0.52412,0.17821,0.10245,0.07841,0.04983,0.03209,0.01736,0.01378,0.00375,0.0
141.0,0.60848,0.16024,0.07379,0.05563,0.03727,0.02982,0.01772,0.01367,0.00339,0.0
142.0,0.60938,0.20332,0.08688,0.03914,0.02128,0.01888,0.01025,0.00716,0.00371,0.0
143.0,0.49045,0.21387,0.0892,0.06538,0.05083,0.04098,0.02122,0.02025,0.00782,0.0
144.0,0.58608,0.20544,0.06776,0.05394,0.03154,0.02362,0.01181,0.01385,0.00596,0.0
145.0,0.55087,0.19472,0.08729,0.05762,0.03887,0.03478,0.01822,0.01353,0.0041,0.0
146.0,0.58323,0.15538,0.07859,0.05233,0.04495,0.03719,0.02318,0.01644,0.0087,0.0
147.0,0.46033,0.15673,0.06064,0.05846,0.03172,0.02774,0.01397,0.01441,0.00471,0.17128
148.0,0.61931,0.2052,0.06021,0.0324,0.0288,0.01991,0.01501,0.00837,0.00292,0.00788
149.0,0.70666,0.16392,0.04956,0.02744,0.01749,0.01774,0.00749,0.00677,0.00291,0.0
150.0,0.41141,0.26762,0.07779,0.08708,0.05585,0.04281,0.02397,0.02535,0.00812,0.0
151.0,0.5676,0.2114,0.06875,0.05525,0.03388,0.02695,0.01695,0.015,0.00422,0.0
152.0,0.59999,0.11765,0.12157,0.0902,0.07059,0.0,0.0,0.0,0.0,0.0
153.0,0.46744,0.21772,0.10511,0.06467,0.05119,0.04134,0.02296,0.01903,0.01056,0.0
154.0,0.7931,0.12528,0.02565,0.02345,0.01207,0.00902,0.00461,0.00484,0.00199,0.0
155.0,0.61574,0.15235,0.06623,0.05528,0.0449,0.03359,0.0134,0.01458,0.00392,0.0
156.0,0.58199,0.17276,0.07495,0.0748,0.03736,0.02556,0.01534,0.01295,0.00429,0.0
157.0,0.52121,0.193,0.08891,0.05159,0.05655,0.03495,0.02284,0.02163,0.00931,0.0
158.0,0.53706,0.1881,0.09619,0.05094,0.04638,0.03373,0.01707,0.01551,0.00623,0.00879
159.0,0.49853,0.22431,0.09794,0.05675,0.04485,0.03808,0.0179,0.01438,0.00726,0.0
160.0,0.54505,0.19006,0.08306,0.06592,0.04117,0.03001,0.0187,0.02014,0.00588,0.0
161.0,0.51542,0.22705,0.06884,0.08123,0.03749,0.03294,0.01463,0.01731,0.0051,0.0
162.0,0.49573,0.23018,0.09956,0.06348,0.03959,0.0312,0.02179,0.01243,0.00605,0.0
163.0,0.46601,0.20654,0.07974,0.0567,0.05005,0.04615,0.02498,0.02429,0.0095,0.03603
164.0,0.60268,0.14777,0.08666,0.04724,0.05201,0.04236,0.01008,0.00975,0.00145,0.0
165.0,0.57456,0.17531,0.06962,0.06452,0.04498,0.03196,0.01712,0.01663,0.0053,0.0
166.0,0.51609,0.2083,0.08701,0.06025,0.05178,0.0324,0.02119,0.01534,0.00764,0.0
167.0,0.50584,0.20405,0.07861,0.06148,0.04825,0.04336,0.02511,0.02359,0.00972,0.0
168.0,0.55974,0.20319,0.07892,0.06004,0.03663,0.0284,0.01627,0.01217,0.00464,0.0
169.0,0.61039,0.19951,0.09051,0.04085,0.02133,0.01863,0.00899,0.00629,0.00351,0.0
170.0,0.592,0.18406,0.06368,0.05416,0.03703,0.02882,0.02207,0.01258,0.0056,0.0
171.0,0.59999,0.11765,0.12157,0.0902,0.07059,0.0,0.0,0.0,0.0,0.0
172.0,0.55196,0.16332,0.0742,0.06597,0.03906,0.02784,0.01858,0.01714,0.00574,0.0362
173.0,0.70744,0.16523,0.05076,0.02646,0.01652,0.01647,0.00758,0.00661,0.00293,0.0
174.0,0.54505,0.19006,0.08306,0.06592,0.04117,0.03001,0.0187,0.02014,0.00588,0.0
175.0,0.47752,0.21298,0.10105,0.06539,0.05015,0.04059,0.02301,0.01862,0.01069,0.0
176.0,0.55958,0.16745,0.09067,0.05826,0.04545,0.03373,0.01734,0.01369,0.00485,0.00898
177.0,0.49853,0.22431,0.09794,0.05675,0.04485,0.03808,0.0179,0.01438,0.00726,0.0
178.0,0.57127,0.1783,0.07381,0.0776,0.03843,0.0262,0.01605,0.01377,0.00456,0.0
179.0,0.50167,0.23649,0.09589,0.06184,0.0379,0.0292,0.02013,0.01125,0.00564,0.0
180.0,0.63407,0.17462,0.06415,0.04209,0.0344,0.02317,0.01141,0.01006,0.00603,0.0
181.0,0.50137,0.22192,0.07685,0.08078,0.04487,0.03335,0.01622,0.01906,0.0056,0.0
182.0,0.52088,0.22582,0.08225,0.05332,0.04229,0.03381,0.01785,0.01774,0.00604,0.0
183.0,0.56914,0.16789,0.08407,0.06779,0.03687,0.03401,0.01909,0.01724,0.0039,0.0
184.0,0.49683,0.20641,0.07639,0.05302,0.03661,0.03947,0.01733,0.01493,0.00632,0.05269
185.0,0.54126,0.21802,0.08866,0.04325,0.03712,0.0294,0.02194,0.01255,0.0078,0.0
186.0,0.52121,0.193,0.08891,0.05159,0.05655,0.03495,0.02284,0.02163,0.00931,0.0
187.0,0.80853,0.11032,0.02441,0.0229,0.012,0.0092,0.00493,0.0053,0.0024,0.0
188.0,0.62428,0.14897,0.06476,0.05405,0.04391,0.03285,0.0131,0.01426,0.00384,0.0
189.0,0.45821,0.18293,0.09246,0.10203,0.05597,0.05121,0.02477,0.02494,0.00749,0.0
190.0,0.56191,0.20026,0.07852,0.06274,0.03736,0.02788,0.01491,0.01193,0.00449,0.0
191.0,0.51705,0.20052,0.09744,0.05577,0.0552,0.03192,0.02223,0.01439,0.00548,0.0
192.0,0.6321,0.15014,0.08903,0.04618,0.03324,0.02682,0.01158,0.00876,0.00215,0.0
193.0,0.56301,0.17658,0.07641,0.0658,0.04677,0.03193,0.01743,0.01665,0.00542,0.0
194.0,0.48578,0.18615,0.0977,0.05802,0.046,0.0341,0.01875,0.0179,0.00815,0.04746
195.0,0.42323,0.24309,0.09327,0.08095,0.05792,0.04268,0.02306,0.02346,0.0081,0.00425
196.0,0.34635,0.25632,0.10761,0.09299,0.06785,0.05528,0.02792,0.0348,0.01087,0.0
197.0,0.52081,0.23455,0.07419,0.06126,0.04033,0.0288,0.01857,0.01401,0.00748,0.0
198.0,0.58291,0.20953,0.06285,0.05577,0.03458,0.0244,0.01326,0.01181,0.0049,0.0
199.0,0.63386,0.14056,0.07465,0.04101,0.04981,0.03934,0.00957,0.00937,0.00183,0.0
200.0,0.50683,0.22274,0.07423,0.06969,0.04779,0.03239,0.01865,0.01867,0.00901,0.0
201.0,0.41033,0.21773,0.12613,0.065,0.05272,0.05518,0.01998,0.02005,0.00838,0.02449
202.0,0.51978,0.20308,0.07589,0.05495,0.04799,0.04222,0.0264,0.02058,0.00912,0.0
203.0,0.48911,0.0126,0.00796,0.00836,0.00369,0.00288,0.0023,0.00255,0.00191,0.46863
204.0,0.51614,0.21055,0.08791,0.0644,0.04671,0.03777,0.01752,0.01353,0.00546,0.0
205.0,0.59564,0.17788,0.08415,0.05806,0.03784,0.02266,0.01284,0.00751,0.00342,0.0
206.0,0.69556,0.12678,0.08017,0.05073,0.01897,0.01182,0.0072,0.0071,0.00167,0.0
207.0,0.41882,0.17189,0.11643,0.08612,0.06605,0.04755,0.03722,0.03375,0.01299,0.00918
208.0,0.68203,0.13703,0.06684,0.04603,0.02541,0.02155,0.00957,0.00799,0.00356,0.0
209.0,0.6278,0.17811,0.06962,0.0526,0.02751,0.02067,0.01131,0.00871,0.00366,0.0
210.0,0.4764,0.22962,0.09541,0.07394,0.04792,0.03746,0.01761,0.01569,0.00595,0.0
211.0,0.47319,0.19105,0.10156,0.07715,0.05084,0.04635,0.01878,0.02946,0.00471,0.00691
212.0,0.57939,0.20119,0.10095,0.04889,0.02654,0.02134,0.00961,0.00962,0.00247,0.0
213.0,0.64722,0.15006,0.07746,0.04103,0.03074,0.01999,0.01481,0.01507,0.00362,0.0
214.0,0.59998,0.20445,0.07005,0.03993,0.03191,0.02631,0.01027,0.01147,0.00564,0.0
215.0,0.52694,0.18242,0.0717,0.06558,0.03408,0.03519,0.01575,0.01282,0.00388,0.05163
216.0,0.56853,0.1908,0.07803,0.05289,0.04638,0.03147,0.01158,0.01626,0.00406,0.0
217.0,0.54547,0.14047,0.10581,0.07274,0.05398,0.03513,0.02235,0.01963,0.00442,0.0
218.0,0.57819,0.16146,0.07838,0.03876,0.04503,0.03763,0.01914,0.01773,0.00848,0.0152
219.0,0.56335,0.23959,0.08017,0.04901,0.02508,0.01633,0.01137,0.01074,0.00436,0.0
220.0,0.60561,0.17085,0.09013,0.05262,0.03019,0.02371,0.01151,0.01167,0.00372,0.0
221.0,0.57339,0.14362,0.06273,0.03646,0.0298,0.02404,0.01162,0.00948,0.00377,0.1051
222.0,0.45362,0.23589,0.10932,0.06343,0.04634,0.0435,0.0244,0.01834,0.00516,0.0
223.0,0.4772,0.25892,0.0971,0.0546,0.03828,0.02896,0.01588,0.021,0.00807,0.0
224.0,0.56832,0.19392,0.07257,0.04638,0.04303,0.03424,0.02187,0.01486,0.00482,0.0
225.0,0.61129,0.18973,0.05894,0.03733,0.03991,0.02524,0.01911,0.01148,0.00697,0.0
226.0,0.53883,0.17546,0.08744,0.06994,0.04659,0.03285,0.02338,0.01754,0.00797,0.0
227.0,0.5513,0.18579,0.07395,0.05526,0.04242,0.03209,0.01984,0.01803,0.00648,0.01484
228.0,0.58539,0.17968,0.0884,0.06111,0.03374,0.02977,0.00937,0.00966,0.00289,0.0
229.0,0.51326,0.19732,0.0792,0.067,0.04416,0.03753,0.02869,0.0242,0.00864,0.0
230.0,0.52421,0.22868,0.07405,0.06345,0.03703,0.02598,0.01831,0.01859,0.00971,0.0
231.0,0.59999,0.11765,0.12157,0.0902,0.07059,0.0,0.0,0.0,0.0,0.0
232.0,0.49844,0.17157,0.11513,0.06869,0.05177,0.03373,0.01984,0.01664,0.00756,0.01663
233.0,0.77382,0.12536,0.04023,0.02243,0.01467,0.01114,0.00616,0.00486,0.00133,0.0
234.0,0.56536,0.18131,0.07362,0.06507,0.03676,0.03517,0.01683,0.01924,0.00663,0.0
235.0,0.58926,0.235,0.07969,0.02834,0.02469,0.01629,0.00629,0.02044,0.0,0.0
236.0,0.55663,0.19973,0.08143,0.05414,0.04137,0.02899,0.01643,0.01536,0.00592,0.0
237.0,0.4752,0.22425,0.11347,0.04622,0.05459,0.03028,0.01976,0.01182,0.00307,0.02135
238.0,0.55799,0.17926,0.06618,0.08026,0.03478,0.0328,0.01605,0.02447,0.00822,0.0
239.0,0.56831,0.14873,0.08392,0.06888,0.04967,0.03286,0.02198,0.0172,0.00845,0.0
240.0,0.65102,0.13236,0.0536,0.05487,0.04279,0.03134,0.01625,0.01173,0.00604,0.0
241.0,0.5017,0.19233,0.08102,0.06246,0.05492,0.03266,0.02158,0.02107,0.00642,0.02583
242.0,0.37063,0.24974,0.13357,0.07164,0.06899,0.05058,0.02169,0.03188,0.00127,0.0
243.0,0.5839,0.18915,0.08102,0.04596,0.03404,0.02875,0.01602,0.0153,0.00585,0.0
244.0,0.53178,0.21169,0.08248,0.06431,0.03449,0.03431,0.01804,0.01671,0.0062,0.0
245.0,0.5017,0.17984,0.10689,0.07796,0.0473,0.04125,0.02067,0.01617,0.00822,0.0
246.0,0.4978,0.21492,0.09686,0.05673,0.04448,0.03216,0.0188,0.01783,0.00574,0.01468
247.0,0.56223,0.15503,0.08994,0.07155,0.04309,0.0354,0.02015,0.01456,0.00805,0.0
248.0,0.61648,0.18951,0.06329,0.0488,0.02893,0.02403,0.01247,0.01057,0.00593,0.0
249.0,0.53083,0.19708,0.08021,0.06085,0.05151,0.02882,0.01801,0.01927,0.00769,0.00573
250.0,0.55703,0.16551,0.07823,0.06604,0.04377,0.03763,0.01822,0.02233,0.00642,0.00481
251.0,0.59441,0.17245,0.09706,0.05185,0.03498,0.0269,0.01161,0.00766,0.00309,0.0
252.0,0.42368,0.20709,0.09143,0.10282,0.05367,0.04765,0.02498,0.0384,0.01028,0.0
253.0,0.50338,0.21037,0.07917,0.06114,0.05176,0.03928,0.0204,0.02239,0.00775,0.00436
254.0,0.52853,0.19777,0.08763,0.0684,0.04024,0.0346,0.01918,0.01618,0.00746,0.0
255.0,0.50623,0.21034,0.09815,0.06348,0.0407,0.03541,0.02013,0.01797,0.00759,0.0
256.0,0.46656,0.1499,0.09768,0.0699,0.08266,0.04589,0.02971,0.03075,0.00823,0.01872
257.0,0.51208,0.18653,0.10343,0.06779,0.04687,0.03752,0.02049,0.01717,0.00812,0.0
258.0,0.57597,0.19714,0.0585,0.04705,0.05178,0.02009,0.01912,0.02188,0.00846,0.0
259.0,0.63523,0.16535,0.07156,0.04472,0.02775,0.02869,0.01411,0.00782,0.00476,0.0
260.0,0.52,0.015,0.39,0.04,0.02,0.015,0.0,0.0,0.0,0.0
261.0,0.48607,0.22049,0.10382,0.06314,0.04666,0.0424,0.0177,0.01504,0.00468,0.0
262.0,0.46014,0.22212,0.11419,0.07333,0.04892,0.03623,0.0196,0.01948,0.00598,0.0
