emotion,lyric
사랑,눈부시게 빛나 모든 날들이
사랑,세상 모두가 변한다 해도
사랑,변함없이 너를 사랑해
사랑,어떤 날은 좋고
사랑,어떤 날은 또 그저 그래
사랑,변덕이 심한 나에게
사랑,모든 걸 맞춰준 너
사랑,um 있는 그대로의 나를
사랑,좋아해줘서
사랑,그래서 나도 아낌없이
사랑,너를 사랑하나 봐
사랑,너무 행복해서 가끔은 불안하기도 해
사랑,다 사라질까 겁이 나
사랑,다시 혼자될까 봐
사랑,um 그럴 때마다 꼭
사랑,안아주던 너 눈물이 났어
사랑,네가 주는 마음이 고마워서
사랑,너의 발걸음에
사랑,빛을 비춰줄게
사랑,작은 어둠도 오지 못하게 내가 함께 해줄게 지금처럼 my love
사랑,영원히 너의 편이 되어줄게
사랑,내가 지켜줄 단 한 사람
사랑,소중한 내 사람
사랑,언제나 꿈꿔 온 순간이 여기 지금 내게 시작되고 있어
사랑,그렇게 너를 사랑했던 내마음을 넌 받아 주었어
사랑,내 기분만큼 밝은 태양과 시원한 바람들이 내게 다가와
사랑,나는 이렇게 행복을 느껴
사랑,하늘은 우릴 항해 열려 있어 그리고 내곁에는 니가 있어
사랑,"환한 미소와 함께 서 있는, 그래 너는 푸른 바다야!"
사랑,같은 시간 속에 이렇게 함께 있는 것만으로도 난 좋아
사랑,행복한 미소에 니얼굴 나 더이상 무얼 바라겠니
사랑,"저 파란 하늘아래서 너와 나 여기 이렇게 사랑하고 있어,"
사랑,하늘은 우릴향해 열려있어 그리고 내곁에는 니가 있어
사랑,"환한미소와 함께 서 있는, 그래 너는 푸른 바다야!"
사랑,더이상 슬픔은 없는 거야 지금 행복한 너와나
사랑,태양 아래 우린 서로가 사랑하는걸 알아
사랑,"환한미소와 함께 서 있는, 그래 너는 푸른 바다야! 너는 푸른 바다야~"
사랑,난 너를 사랑해 난 너를 사랑해
사랑,입술 끝에 맺혀있는 말 너만 보면 하고 싶은 말
사랑,너무 소중해 아껴두려고 참고 또 참는 말
사랑,할 수 있어 행복한 그 말 발음조차 달콤한 그 말
사랑,제일 좋은 날 제일 멋지게 네게 해주고 싶은 그 말
사랑,너를 사랑해 사랑해 사랑한다 한번 두 번을 말해도 모자라서
사랑,아끼지 못해 숨기지 못해 솔직한 내 맘을 고백을 해
사랑,정말 너만이 너만이 전부인 난 너를 보고 또 안아도 벅차는 난
사랑,말할 때마다 다시 설레서 쉬운 적 없던 그 말 너를 사랑해
사랑,울다가도 웃게하는 말 웃다가 또 울게 하는 말
사랑,아주 먼 훗날 너의 귓가에 하고 눈 감고 싶은 그 말
사랑,니가 다가온다 나를 본다 가슴이 뛰어온다
사랑,매일 너를 봐도 이런건 기적일까 계속된 꿈인 걸까
사랑,사랑해 사랑해 사랑해 널
사랑,다시 물어도 대답은 똑같은데 돌려 말하고 꾸며볼래도
사랑,(결국엔 내 맘은 이런거야) 이런거야
사랑,(정말 너만이 너만이 전부인 나)
사랑,(너를 보고 또 안아도 눈물이 나)
사랑,어떻게 니가 내게 온거니 믿을수 없을 만큼
사랑,너를 사랑해 나의 마음이 너를 생각할수록
사랑,나는 행복해 다른 누구도 난 부럽지 않아
사랑,맑은 유리창으로 햇살이 나를 반기는 이 느낌
사랑,믿을 수가 없어져 Oh yeah 너무도
사랑,내게 소중함을 느낄 수 있도록 해준 너
사랑,긴 밤이 오래될 수록 아침이 더디올 수록 그리워
사랑,우리 둘이 영원히 함께 같은 공간 속에
사랑,아픔이 많더라도 괜찮아 Yeah
사랑,너를 사랑해 나의 마음이 Oh 너를 생각할수록
사랑,Beautiful day 이제껏 느껴보지 못한
사랑,저 가슴속 깊은 곳에서 두근대는 내 심장을 느껴
사랑,너무나 아름다운 햇살과 내 마음속에 따뜻함을 준 너
사랑,아름다운 너의 모습 바라볼때면 언제나 너 보며 살아가고 싶고
사랑,나 너무나 잘 아는 그런 너와 있을때면
사랑,평생을 너와 함께 지내고 싶어
사랑,오렌지의 향기로 살며시 미소지을 땐 너의 웃음이
사랑,모든 걸 다 잊게 해 Oh yeah 사랑해
사랑,지금 기적보다 놀라운 날들이 온거야
사랑,나에겐 지금 너보다 너에겐 지금 나보다 소중한
사랑,다른 사람 없다면 함께 영원히 같은 집에
사랑,서로 얼굴을 보며 살아가 Yeah
사랑,가슴을 적시는 아름다운 음악속에 흐르는 저 시원한 빗방울처럼
사랑,넌 언제나 내게 그런 힘이 돼주고는 하지
사랑,마음이 불편하고 기분이 허전할때
사랑,넌 내 마음 저 깊은 구석 시원하게 해주네
사랑,그런 너는 나에게 누구보다 그 어느 누구보다 소중해
사랑,그런 너와 영원히 함께살고 싶어 너와 나 즐거울 수 있을 거야
사랑,서로를 사랑하고 있으니 Yeah
사랑,아무래도 난 니가 좋아
사랑,아무런 말도 없이 웃던 나를 안아줘 babe
사랑,오늘을 기다렸죠 그대 달콤한
사랑,나를 봐요 그대 ye 지켜줄게요 babe
사랑,매일 매일 꿈을 꾸죠
사랑,그대 손을 잡고 날아가 영원히 언제 까지나
사랑,보고 싶은 나의 사랑 운명이죠. 피할 수도 없죠
사랑,every day I.m so lucky
사랑,숨겨왔던 내 맘을 고백 할래 너를 사랑해
사랑,떨리던 내 입술도 그대 설레던
사랑,이 마음도 그대 내 사랑이죠 babe
사랑,이런게 사랑 인걸 알죠
사랑,그대가 있어 행복 하죠 ye 사랑이에요 babe
사랑,보고 싶은 나의 사랑 운명이죠 피할수도 없죠
사랑,나의 모두를 걸만큼 널 사랑하고
사랑,아껴준다고 그대 약속할게요  워
사랑,시간 지나 모두 변해도
사랑,이 세상이 끝난다 해도 나의 사랑아  아
사랑,그대 내게 행운이죠 피할수도 없죠
사랑,every day I.m so lucky 숨겨왔던
사랑,내 맘을 고백 할래 너를 사랑해
사랑,너무너무 예쁘다고 해도
사랑,너를 떠올리며 거절했지만
사랑,이번 한번뿐이라는 걸 맹세해
사랑,rap) 약속을 정하고 그 날이 왔어
사랑,신경써서 옷도 입고 머리도 하고
사랑,오랜만에 하는 소개팅에서 무슨말을 할까 고민도 하고
사랑,널 만날때완 다른느낌에 설레임을 안고 집을 나섰지
사랑,날씨도 좋고 기분도 좋고 아무튼 이래저래 좋았던거야
사랑,나를 믿고있는 너에겐 정말 미안한 마음 뿐이야
사랑,이번 한번만 용서해
사랑,십분정도 먼저 도착해서
사랑,어떤여자일까 상상을 했어
사랑,예뻤으면 키도 컸으면 좋겠어
사랑,Rap) 혹시나 하고 주위를 살피고 흐르는 노래를 따라불렀어
사랑,드디어 내친구의 모습보이고 난 수줍어 고개를 숙였어
사랑,국민학교 동창이란 친구얘기에 인사를 하려고 고개를 드니
사랑,내앞에 있는건 다름 아닌 너 황당한 나보다 더 당황하는 너
사랑,서로믿고있던 너와나 그냥 맘껏웃어버렸어
사랑,서로 용서해 이번만
사랑,이래서 우린 어쩔수가 없나봐
사랑,서로가 눈을 피해 만나보아도
사랑,결국엔 이렇게 우리둘이서 또 만나게 되어있는 거잖아
사랑,이렇게 예쁜 너의곁엔 이렇게 착한 내가 있었어
사랑,우린 결코 헤어질 수 없어 영원히 사랑할 수 밖에 없어
사랑,그렇게 미안해 하지마 예쁜 추억을 만든것 뿐야
사랑,너를 사랑해 영원히 난 너를 사랑해 난 너를 사랑해
사랑,눈꽃이 내린 버스 정류장에 날 데려다주다
사랑,꼭 내 손을 잡는 너 때문에 나 놀랐어
사랑,아주 오래전부터 숨겼던 내 맘이 들킨 걸까
사랑,부는 바람에 실린 우리에게 번진 This is love
사랑,내 마음에 내려와 사뿐히 내려와
사랑,네 어깨 위에도 벌써 내린 그 이름 봄인가 봐
사랑,우리 잡은 손 틈 사이 얇아진 외투 사이
사랑,어느새 스며들어 우릴 변화시킨 봄이 왔나 봐
사랑,첨엔 그랬어 편한 친구 혹 동생 같았어
사랑,치마를 입고 꾸민 모습에도 놀라지 않았어
사랑,뭐가 우릴 지금 이렇게 바꿔 놓은 걸까
사랑,Maybe it's crazy Can I call you my baby Yeah
사랑,어느새 스며들어 우릴 변화시켜 Oh
사랑,우리 서로에 기대어 잠든 벤치
사랑,투명한 하늘에 물든 Sweet cherry blossom
사랑,늘 이러면 좋겠다 Yeah
사랑,우릴 바꾼 그 이름 봄봄봄 봄 Ooh
사랑,널 사랑해 너를 사랑해 사랑해 널 Yeah
사랑,넌 봄이 돼줘 항상 나는 꽃이 될게
사랑,서로를 녹여주고 열리게 해주면 좋겠다
사랑,안 보이던 마음과 마음
사랑,마주한 시선 사이
사랑,겨우내 숨어있던 꽃이 피었나 봐 봄이 왔나 봐
사랑,진하게 화장을 하고
사랑,예쁘게 머리를 하고
사랑,오늘도 집을 나서는 넌 예뻐
사랑,높은 구두를 신고
사랑,짧은 치마를 입고
사랑,있는 너 너무나 아름다워 but
사랑,넌 모를 거야
사랑,자다가 일어나 살짝 부은 얼굴이
사랑,얼마나 예쁜지
사랑,자기 전 세수한 니 모습이
사랑,자꾸 거울 보지마
사랑,몸무게 신경 쓰지마
사랑,넌 그냥 그대로 너무 예쁜 걸
사랑,No make up ye no make up ye
사랑,No make up 일 때 제일 예쁜 너
사랑,빨간색 립스틱보다
사랑,투명한 립밤이 좋아
사랑,저 하늘 구름보다 자연스러워
사랑,어제도 힘들었는지
사랑,너무 지쳐 보여 너
사랑,이리 와서 내 품에 안겨 baby
사랑,아이라인 없이 웃는
사랑,너의 예쁜 눈 웃음을
사랑,메이크업 베이스 지우면
사랑,빛나는 우유빛 피부
사랑,아무리 얘기해도 넌 모르겠다고 하지만
사랑,(바보 같아)
사랑,오늘 내일 다음 날도 매일 말해 주고파
사랑,(예쁜 얼굴)
사랑,세상에 어떤 꽃잎도 아름답지만
사랑,짧은 기억을 머금고 떨어지듯이
사랑,영원한 것은 없다고
사랑,난 그걸 너무 잘 알지만
사랑,너만은 아니길 난 기도해
사랑,바람이 불어도
사랑,나의 마음이
사랑,흩어지지 않게
사랑,나의 손을
사랑,내 마음을 안아줄래
사랑,나의 옆에 있어줄래
사랑,내가 모든 걸 잃어도
사랑,너만은 꼭 남아줄래
사랑,모두가 날 떠나가도
사랑,넌 지금 이대로 늘 변치 않기를
사랑,널 기억 못 하는
사랑,그날이 와도
사랑,나와 있어줄래
사랑,내일을 약속해줄 수 없는 나지만
사랑,변함없는 그 마음을
사랑,내려준 너라서 고마워
사랑,우리의 오늘이
사랑,시간에 바래
사랑,녹슬어 간대도
사랑,나의 눈에
사랑,나의 품에 안겨줄래
사랑,넌 지금 이대로
사랑,늘 변치 않기를
사랑,사실 난 그게 너무 두려워
사랑,다 주고도
사랑,다 하고도
사랑,늘 미안한 그 말
사랑,널 사랑해
사랑,영원보다
사랑,더 영원히
사랑,내 옆에 있어줘
사랑,My love
사랑,이 세상에
사랑,모든 빛이 사라진대도
사랑,너만은 내 눈앞에서
사랑,지금처럼 날 비춰주길
사랑,사랑해 영원히
사랑,너를 기억 못 하는
사랑,누가누가 당신 맘을 외롭게 합니까
사랑,누가누가 당신 맘에 눈물을 주나요
사랑,바람결에 떨어지는 꽃잎이
사랑,여자의 마음인가요
사랑,내 품에 안겨 걱정을 말아요
사랑,영원히 지켜줄게요
사랑,애인이 되어줄게요 애인이 되어줄게요
사랑,내가내가 잘해줄게요
사랑,사랑이 되어줄게요 사랑이 되어주세요
사랑,내가 당신 애인이 되어줄게요
사랑,사연 없는 사람 있나 아픔이 없을까
사랑,우연처럼 만나는 게 사랑이란 것을
사랑,반했어요 마음을 열어요
사랑,놓치면 후회할 거야
사랑,별이 빛나는 아름다운 밤이야이야
사랑,이 밤이 영원하길 내 손 잡아봐
사랑,푸른 달빛이 아름다운 밤이야이야
사랑,나와 저 하늘을 걸어봐
사랑,I'm yours 너만이 나를 설레게 해 I'm outta control
사랑,I'm yours Nobody 아무도 널 대신할 수 없어
사랑,날 미치게 해
사랑,Left 그리고 Right 넌 나를 흔들어 Disco night
사랑,아래위로 날 앞뒤로 내 마음을 뒤집어 Inside out
사랑,그런 너는 솜사탕 아 질리지가 않아
사랑,오늘 이 밤이 다 가기 전에 Let's love all night
사랑,아직 난 사랑을 잘 몰라 너를 처음 본 순간
사랑,강하게 밀려오는 파도를 느꼈어
사랑,내 마음 속 한구석까지도 깊이 적셔 오오오오오 Girl
사랑,Something  Good  Nothing  better
사랑,넌 내게 한도 없는 Credit Card처럼
사랑,나 힘없이 넘어가 이런 느낌 나쁘지 않아 Girl
사랑,한 큐에 네 안에 들어갈게 너도 모르게
사랑,내가 자꾸만 생각날 거야 꿈속에서 만나 I'm waiting for you
사랑,아직 난 사랑을 잘 몰라
사랑,니 앞에 설 때마다 강하게 밀려오는 파도를 느꼈어
사랑,I just wanna love you all night long
사랑,니 품에 안겨 잠들고 싶어 Tonight
사랑,(I`m yours 너만이 나를 설레게 해 I`m outta control)
사랑,(I`m yours Nobody 아무도 널 대신할 수 없어)
사랑,푸른 달빛이 아름다운 밤이야이야 나와 저하늘을 걸어봐
사랑,(날 미치게 해)
사랑,Beautiful my girl
사랑,My beautiful my girl and I I I
사랑,So beautiful my girl
사랑,in the cube
사랑,Ha ha girl This is my confession
사랑,Drop that beat
사랑,Oh listen to my heart
사랑,내 맘 들어봐 봐
사랑,어떤 말로도 너를 표현할 수 없지만
사랑,그냥 내 style로 내 맘 들려줄게
사랑,oh listen listen listen girl
사랑,(Nothing better than you)
사랑,세상을 다 줘도
사랑,(you you you you)
사랑,너와 바꾸진 못해
사랑,Hey baby girl 매일이 즐거워 사실 좀 두려워
사랑,누가 뭐래도 넌 I want
사랑,so beautiful my girl (U)
사랑,oh oh girl (U)
사랑,oh oh girl 시간이 지나도
사랑,누구보다 내가 더 더 더
사랑,너를 아껴줄게 my girl 모두 다 줄게
사랑,너 (U) 너에게 (U) 에에게
사랑,oh oh 니가 어디 있든 달려 갈 수 있어
사랑,I always think about you
사랑,지금보다 내가 더 더 더 너를 사랑할게 my girl
사랑,you you you my girl
사랑,(U) oh beautiful
사랑,(U) so beautiful
사랑,(U) my beautiful
사랑,nothing better than you
사랑,oh beautiful
사랑,Don't be shy girl
사랑,니가 힘들 땐 언제나 I'll be there
사랑,아무때나 내게 와 나의 품에 안겨
사랑,그냥 눈을 감고 내 맘 들어봐봐
사랑,아무도 못 막아
사랑,널 향한 나의 마음
사랑,하루의 스물네 시간을 널 위해 써도
사랑,아깝지 않은 게 나야
사랑,Just take my hand and fly
사랑,"Make a love baby,Just make a love"
사랑,Feeling in my heart So nice
사랑,so beautiful my girl (Oh oh)
사랑,oh oh girl(girl)
사랑,oh oh girl 시간이 지나도(시간이 지나도)
사랑,누구보다 내가 더 더 더(baby)
사랑,oh oh 니가 멀리 있어도 느낄 수 있어
사랑,I'm always dreaming about you
사랑,Nothing better than you
사랑,저기 길가에 나의 눈앞에
사랑,날 바라보며 수줍게 넌 살짝 손을 흔드네
사랑,나는 대답해 손엔 두 잔의 라떼
사랑,티를 내며 어깰 으쓱하고 파란불만 기다린다네
사랑,겨우 오후 여섯시 반에 벌써 세상은 깜깜해
사랑,저 따뜻한 호빵에
사랑,조그만 방에 모여 또 낭만을 파네
사랑,오리 털 잠바에 커플 벙어리 장갑에
사랑,몸은 움츠려 들면서도 빨간 냄비에
사랑,돈을 넣을때면 가슴이 짠해
사랑,나무들은 전구들로 덮혀가
사랑,술에 취한 친구들은 엎혀가
사랑,버스창엔 입김을 호호 애긴 발자국을 콩콩
사랑,앞에 앉은 커플은 뽀뽀 사람들이 쳐다봐도 쪽쪽
사랑,사방엔 불을 밝힌 트리 이젠 바로 로맨틱 겨울이
사랑,해마다 로맨틱 겨울이 올때면
사랑,혼자 꿈꿔왔던 그 장면
사랑,그 장면 이 지금 펄쳐지고 있어 지금
사랑,너 같은 여잔 없을줄 알았는데
사랑,사랑 그 설레임에 눈이 올때면
사랑,넌 내 품에 안겨 내 팔은 너에게 감겨
사랑,사방에 불을 밝힌 트리 로맨틱 겨울이
사랑,나는 대답해 손엔 두잔의 라떼
사랑,너와 난 술에 취해
사랑,차가운 길거리에
사랑,그때 너의 손을 슬쩍
사랑,곧바로 나의 코트 주머니에
사랑,원래 사랑은 유치해
사랑,겨울은 더 해 여름에 비해 얼마나 고마운지
사랑,그대가 바로 지금 나의 옆에 있기에
사랑,전에 내가 보드를 좀 탄다 말했지만
사랑,사실은 나 내일 처음으로 타봐
사랑,아까 내가 박박 우겼지만
사랑,사실 너가 처음은 아니야 니 느낌이 맞아
사랑,미안해 거짓말을 한건 당근
사랑,잘보이고 싶었던 만큼
사랑,행복은 모두 내 차지
사랑,어딜가든 너와 함께할래 끝까지
사랑,해마다 로맨틱 겨울이 올 때면
사랑,그 장면 이지금 펼쳐지고 있어 지금
사랑,너같은 여잔 없을 줄 알았는데
사랑,하얀 눈은 내리고 너와 난 웃음짓고
사랑,사랑 가득한 날아갈 듯한
사랑,기분좋게 취해버린 기분이고
사랑,너와 난 반쯤 미쳐 하늘에다 크게 소리쳐
사랑,사랑한다고 행복하다고 미칠 것만 같다고 to the Beat yo
사랑,사랑이 가득한 날아갈 듯한
사랑,Yeah This was romantic jp
사랑,For all the romantic people like you & me
사랑,** 내 고백의 노래소리가 너에게 들릴 수 있게
사랑,사랑한다 사랑한다 그댈 사랑해요
사랑,내 가사의 노랫말들이 너에게 닿을 수 있게
사랑,사랑한다 사랑한다 사랑해요
사랑,** 사랑해 사랑해 사랑해요 그대 하나만 어디요? 이런 남자
사랑,찾을래야 찾을 수 없죠
사랑,나몰라 나몰라 나몰라요 부끄러워요 날 사랑 한단말
사랑,그맘은 변치 말아줘요
사랑,째깍 째깍 시간이 흘러가고
사랑,내맘은 이미 네게 흘러가고
사랑,해는 벌써 오! 하늘에서 지고
사랑,잠이 오지않아 베게만 끌어안고
사랑,눈을 감아봐도 네가 아른거려
사랑,이러다가 병에 걸려 내가 눈을 감아
사랑,아직 참아 내가 차마 애써 차만.. 에라 모르겠다
사랑,힘껏 밟아보자
사랑,그녀 하나만 바라보고 있어도 그냥 서로 마주보고 있어도
사랑,그대 없인 난 홀로 사는 무인도 못잊어 하루도
사랑,우리 친구들이 너 이쁘데 니가 나보다 백배 아깝데
사랑,우리 미녀와 야수라데 그래도 나는 행복하네
사랑,멋지게 차려입은 나는야 신사
사랑,차는 신사역을 오! 벌써지나
사랑,어렴풋이 보여 그래 저기 보여 오!
사랑,뷰리풀 레이디 오늘 왜이래
사랑,아! 참으로 이쁜 그녀 아! 뭘해도 이쁜 그녀
사랑,아! 사랑에 미쳤구나 아! 그래도 난 좋구나
사랑,"헤어질땐 슬쩍 뒤돌아 보지 않기 하나, 둘, 셋 하면"
사랑,등 뒤돌아 난 뒤돌아 '집에가서 꼭 전화해?'
사랑,"'사랑해, 내꿈꿔, 잘자.' 뭔 할말이 많은지"
사랑,흔한 말들이 우리들의
사랑,사랑 이야기
사랑,하나의 그림같은 풍경 지금 어디선가 네 향기가 풍겨
사랑,놀래키려고 내게 와락 안겨 와! 하는 순간 난
사랑,눈물나는 감격
사랑,마주잡은 손을 놓지 않을래
사랑,너를 위해 만든 내 노래를 들어나 볼래
사랑,사랑해 사랑해 사랑해요 그대 하나만 우리 영원히 사랑해요
사랑,엄지 엄지 척 엄지 엄지 척
사랑,자상하고 다정다감해
사랑,보면 볼수록 알면 알수록 매력이 넘쳐요
사랑,천생연분 내 사랑이에요
사랑,그냥 좋아요 왠지 좋아요 엄지 척
사랑,평범하고 편안한 속이 깊은 이 남자
사랑,사람 냄새가 풍겨서 좋아요
사랑,성실하고 진실한 믿음직한 내 남자
사랑,당신을 정말로 사랑해
사랑,오늘보다 내일을 약속하고 싶어요
사랑,꿈과 희망이 있어서 좋아요
사랑,평생토록 나만을 지켜준다 말해요
사랑,당신을 영원히 사랑해
사랑,사랑해요 내사랑
사랑,엄지 척
사랑,난 아니기를 바랬어
사랑,그냥 친구일 뿐이라고
사랑,너를 사랑할수록 난 어색해서
사랑,널 피하곤 했지
사랑,이제는 느낄수 있어
사랑,사랑으로 다가온 너를
사랑,함께 해야 할 이유 찾았어
사랑,너와 나의 바램 그거
사랑,(사랑해) 이말을 꼭 하고 싶었어
사랑,(영원히) 지금 이대로 널 사랑해
사랑,너만이 날 이해할수 있어
사랑,내가 너를 알 듯이
사랑,널 사랑할꺼야 (사랑할꺼야)
사랑,너와 떨어져 있던 만큼
사랑,내 친구에서 이제
사랑,연인이 된 기쁜 맘 내 맘 알아줘
사랑,영원히 사랑해
사랑,이제 나에겐 너여야 해
사랑,이대로가 좋아
사랑,너의 마음 언제나 변함없길 바래
사랑,우리 둘은 서로에게 너무 무관심했었지만
사랑,생각하고 보니 내게 제일 가까운 너
사랑,그래서 난 네게 고백하게 된거야
사랑,누구보다 나를 잘 아는 너이기에
사랑,내가 외로울 때 한 두 번씩
사랑,네게 전화할 때마다
사랑,약속있다하고 투정부리며 거절했었어
사랑,사랑과 우정사이 무척애매했었지만
사랑,지금 우린 같은곳을 달리고 있어
사랑,이대로가 좋아 너의 마음 언제나
사랑,변함없길 바래
사랑,아침햇살이 날 비추는 유난히 기분좋은 날
사랑,물들은 내 얼굴도 오늘따라 더 예쁜 날
사랑,숨겨왔던 이내맘을 고백하기 너무 좋은 날
사랑,설레이는 내가슴속 사랑을 속삭이는 날
사랑,나를 보고 웃었던 그때부터였죠
사랑,두근대는 심장소리에 사랑을 알았죠
사랑,사랑한단 그말보다 더 좋은 말은 없을까요
사랑,사랑이란 흔한 말로는 내 맘 전할 수 없는데
사랑,너무 많이 망설였지만 오늘은 꼭 말할래요
사랑,사랑한다고.. 고백하기에.. 너무도 좋은 날..
사랑,저녁노을이 날 비추는 유난히 기분좋은 날
사랑,날보는 그대눈빛 오늘따라 더 멋진 날
사랑,떨려오는 이내맘을 고백하기 너무 좋은 날
사랑,그대 손을 잡았던 그때부터였죠
사랑,짜릿했던 그대손길에 사랑을 알았죠
사랑,그대를 만난 후부터 사랑이 뭔지 알 것 같아요
사랑,눈속엔 그대만 입술엔 웃음만
사랑,가슴이 벅차는 이 느낌
사랑,그대 사랑인 거 맞죠
사랑,고백할게요.. 그대만을 영원히 사랑해...
사랑,햇살이 참 좋은 날엔 니 생각이 나
사랑,설레여 잠 못 이루던 날들
사랑,그대 그대 고마워요
사랑,그대라서 참 고마워요
사랑,좋았던 기억
사랑,사랑만 담을게요
사랑,억지로 떠밀려온 캠퍼스
사랑,모든 게 불만이고 어리숙한 내 모습
사랑,쉽게 적응 못해 겉돌던 내가
사랑,우연히 학교 식당 앞에서 너를 봤어
사랑,새뽀얀 피부의 단발머리 그녀는
사랑,생애 봄날이 내게 준 가장 큰 선물
사랑,운명을 받아들일 준비가 되어있어.
사랑,눈 감아도 항상 내 눈에 니가 보여서
사랑,(두근거림 이설레임)
사랑,내 엔돌핀들 전부 깨워서 bring'em out
사랑,(한 걸음만 더 가까이)
사랑,널 만날땐 언덕길도 전부 내리막
사랑,약속할게 널 위한 일이라면
사랑,다 뭐든지 할게 우리 어디든 함께
사랑,니 입술이 닿을 때 첫 느낌 기억해
사랑,한여름밤의 치맥처럼 짜릿한 내 로맨스
사랑,이런 행복들이 익숙해질 때쯤
사랑,날 찾아온 시련 입영통지서
사랑,애써 담담한 척 말은 쉽게 했지만
사랑,밤새 아파할 널 생각하니 눈물이
사랑,글썽 넌 볼품없는 내 삶에
사랑,꽃을 피워줬어 꿈같은 계절
사랑,내게 선물해줘 (고마워)
사랑,그러니 기다린다는 말 안 해도 돼
사랑,내가 더 버틸 수 없을 것 같으니까
사랑,(짧게자른 니 모습이)
사랑,내머리가 어때서 SO SO SO GOOD!
사랑,(그 미소가 내 가슴을 아프게 만들고 있어)
사랑,잘 지내 금방갔다 돌아 올게 베베
사랑,고무신 말고 꽃신 신껴줄게 꼭 이담에
사랑,너 아프면 안 돼 나 끊을게 담배
사랑,한걸음 떨어지지만 더 깊게 사랑해
사랑,햇살이 참 좋은 날엔  니 생각이 나
사랑,설레며 잠 못 이루던 날들
사랑,유난히 빛이 났던 내 스무 살의 봄
사랑,그만큼이나 시리고 아파야 했던
사랑,스물세 살의 겨울..
사랑,(알고 있나요 내 전부였던 단 하나의 사람)
사랑,내 삶에 가장 행복했던 시절 그 한편을
사랑,가득 채워준 단 한 사람에게
사랑,햇살이 참 좋은 날엔 니가 올 것 같아
행복,둥근 해가 뜨면 제일 먼저
행복,기분 좋은 상상을 하지
행복,하나 둘 셋! 자리에 일어나
행복,하마처럼 입을 쫙~ 하품을 한번 하고
행복,두 눈을 크게 뜨고
